Carimbo de data/hora,Idade:,Género:,Profissão:,Quais eram os seus principais objetivos quando se inscreveu no ginásio?,O que é que o levou a escolher o Liberty Fitness Center? (de entre os diferentes centros de fitness em que se ponderou inscrever).,O que é que mais valoriza no Liberty Fitness Center?,"Se frequenta as aulas de grupo, quais são as suas favoritas?",Quais destas redes social / plataformas online que costuma utilizar?,Como é que nos conheceu?,"De 1 a 10, com base na sua satisfação, qual seria a probabilidade de indicar o nosso Fitness Center a um amigo?"
2023/07/31 18:16:02,18,Feminino,estudante,"Perder peso, Previnir problemas de saúde, Melhorar a autoestima",melhor relação qualidade preço,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Horários das aulas de grupo, Simpatia do staff",Localizada e GAP,"Instagram, TikTok, WhatsApp",Recomendação de um amigo,8
2023/07/31 18:16:25,30,Feminino,Cuidadora ,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde, Aumentar a massa muscular, Melhorar a autoestima",Mais próximo ao minha casa e trabalho ,"Número de máquinas, Condições dos balneários, Horários das aulas de grupo","Pilates, localizada, yoga","Instagram, Facebook, WhatsApp",,8
2023/07/31 18:18:08,43,Feminino,Cabeleireira ,Perder peso,O que estava mais perto do local de trabalho ,"Estacionamento gratuito, Dimensão do espaço, Horários das aulas de grupo",Cycling ,"Instagram, Facebook",,8
2023/07/31 18:18:26,44,Feminino,Engenheira ,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental, Melhorar a autoestima","No início, quando era no centro, foi a localização e preço.  Depois,  com a troca da localização,  foram os  professores, as aulas que tinham na parte da manhã e a manutenção do preço.  ","Estacionamento gratuito, Horários das aulas de grupo, Os professores das aulas em grupo. Das aulas que ainda restam, pois estão a tirar muitas. ","Hit, cycling, localizada.  Mas gostava muito de body pump, Cross training e jump que não tem mais de manhã.   ","Instagram, Facebook, WhatsApp, Google",Localização ,7
2023/07/31 18:22:55,41,Feminino,Professora ,"Perder peso, Aumentar a flexibilidade, Previnir problemas de saúde",Melhores instalações e mapa de aulas diversificado (ainda na avenida central),"Simpatia do staff, Era o mapa de aulas diversificado",Localizada; gluteos; GAP; pilates e Pump,"Instagram, Facebook, WhatsApp, Google",Recomendação de um amigo,7
2023/07/31 18:23:04,46,Feminino,contabilista certificada,Acalmar o stress / Razões de Saúde Mental,a antiga localização ,professores aulas de grupo,"pilates , localizada, ","Instagram, Facebook",Recomendação de um amigo,7
2023/07/31 18:24:56,28,Feminino,Operário fabril ,Aumentar a massa muscular,O mais próximo da minha casa,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Horários das aulas de grupo, Simpatia do staff",,"Instagram, WhatsApp",Recomendação de um amigo,9
2023/07/31 18:25:26,19,Masculino,Empresário ,Aumentar a massa muscular,O valor da entrada ,"Número de máquinas, Condições dos balneários, Pouco tempo de espera para usar as máquinas, Simpatia do staff",,"Instagram, TikTok, WhatsApp, Google",Recomendação de um amigo,9
2023/07/31 18:27:07,45,Masculino,ARQUITETO,"Previnir problemas de saúde, Acalmar o stress / Razões de Saúde Mental",,"Estacionamento gratuito, Dimensão do espaço",CROSSFIT,,Recomendação de um amigo,9
2023/07/31 18:29:02,53,Feminino,Professora,"Perder peso, Previnir problemas de saúde, Melhorar a autoestima",A localização ,"Estacionamento gratuito, Número de máquinas, Dimensão do espaço, Simpatia do staff","Localizada, cicling, 3b...","Instagram, Facebook",Recomendação de um amigo,7
